2018-05-28 00:58:28|192.168.1.6|/minifMVC/public/ad/maps|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:58:35|192.168.1.6|/minifMVC/public/|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:58:37|192.168.1.6|/minifMVC/public/maps|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:58:38|192.168.1.6|/minifMVC/public/home|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:58:45|192.168.1.6|/minifMVC/public/news_PDO|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:58:51|192.168.1.6|/minifMVC/public/news_PDO/newsDetails/25/Sahur-di-Rumah-Saja|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:58:57|192.168.1.6|/minifMVC/public/news_PDO|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:58:59|192.168.1.6|/minifMVC/public/news_PDO/newsDetails/1/This-is-My-first-posts!|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:59:01|192.168.1.6|/minifMVC/public/news_PDO|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:59:06|192.168.1.6|/minifMVC/public/news_PDO/newsDetails/17/Sahur-di-Rumah-Saja|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:59:09|192.168.1.6|/minifMVC/public/news_PDO|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 00:59:57|::1|/minifMVC/public/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:00:01|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:00:04|::1|/minifMVC/public/news_PDO/formNews|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:00:49|::1|/minifMVC/public/news_PDO/addNews|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:00:53|::1|/minifMVC/public/news_PDO/newsDetails/29/Mom-is-greatest-person-in-the-world|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:00:53|::1|/minifMVC/public/contents/img/20180528-Mom-is-greatest-person-in-the-world.jpg|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:02:31|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:02:33|::1|/minifMVC/public/news_PDO/formNews|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:16:28|192.168.1.6|/minifMVC/public/news_PDO/newsDetails/22/Mencoba-teknik-MVC-pada-python-3.1-beta|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 01:16:28|192.168.1.6|/minifMVC/public/contents/img/Mencoba-teknik-MVC-pada-python-3.1-beta.jpg|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 01:18:09|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 01:18:17|192.168.1.6|/minifMVC/public/news_PDO|Mozilla/5.0 (Linux; Android 5.1; Alcatel_7049D Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36
2018-05-28 01:18:33|::1|/minifMVC/public/news_PDO/newsDetails/2/Imam-Kurniawan-adalah-namaku|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 09:57:54|::1|/minifMVC/public/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 09:58:06|::1|/minifMVC/public/maps|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 09:58:19|::1|/minifMVC/public/home|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 09:58:21|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 09:58:35|::1|/minifMVC/public/news_PDO/newsDetails/29/Mom-is-greatest-person-in-the-world|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 09:58:35|::1|/minifMVC/public/contents/img/20180528-Mom-is-greatest-person-in-the-world.jpg|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 09:58:37|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:05:41|::1|/minifMVC/public/news_PDO/formNews|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:06:09|::1|/minifMVC/public/news_PDO/addNews|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:06:59|::1|/minifMVC/public/news_PDO/newsDetails/30/Mencoba-Teknik-Baru-pada-MVC-model|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:06:59|::1|/minifMVC/public/contents/img/20180528-Mencoba-Teknik-Baru-pada-MVC-model.jpg|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:07:05|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:07:09|::1|/minifMVC/public/news_PDO/newsDetails/29/Mom-is-greatest-person-in-the-world|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:07:09|::1|/minifMVC/public/contents/img/20180528-Mom-is-greatest-person-in-the-world.jpg|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:07:12|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:07:29|::1|/minifMVC/public/news_PDO/newsDetails/1/This-is-My-first-posts!|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:07:37|::1|/minifMVC/public/news_PDO|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
2018-05-28 10:11:07|::1|/minifMVC/public/news_PDO/newsDetails/15/Free-&-Open-Source|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
